                 Auteur                                    Société Année                                                                                                   Titre
            CATALANO N.                           Malakoff Humanis  2023                           Projection d’un portefeuille de prévoyance individuelle dans un contexte MCEV
             CATTEAU Y.                               Generali Vie  2023                                                  Sensibilité du bilan Solvabilité II et gap de duration
               CETIN A.               Sociétés Générale Assurances  2023         Mailles de calcul règlementaire et analytique IFRS 17 : impacts sur le bilan et le résultat VFA
             CHABERT R.                           Deloitte Conseil  2023    Jugement d'expert, biais cognitifs et volatilité - Influences sur le provisionnement en assurance...
             CHAMBON F.                                   Actuelia  2023               Projection de l'activité d'une compagnie d'assurance non-vie en environnement multinormes
             CHAPUIS C.                           Aviva Assurances  2023                                     Modélisation de la prime pure RC omnicanale en assurance automobile
              CHAPUT M.                          Groupe Solly Azar  2023                                        Etude de méthodes de tarification sur un portefeuille automobile
             CHELBON A.                                 AXA France  2023                                       Refonte de la prime commerciale du périmètre DOM en assurance MRH
              CHUPOT E.                                 AXA France  2023                                   Corrélation entre consommations santé, variables macro et absentéisme
             CLAVIER M.                                   Deloitte  2023                                      Prévisions sous IFRS 17 : Business plan et atterrissage en épargne
              COCHET L.                                    SCOR SE  2023                                                   Application des méthodes de NLP en assurance spatiale
              CONJAT E.       Crédit Agricole Assurances Solutions  2023              Adéquation des lois "Best Estimate" de mortalité et de résiliation en assurance emprunteur
            CORRADIN A.                          Direct Assurances  2023                           Fiabilisation de la souscription en assurance automobile distribuée en direct
              COTTER D.                                       SPAC  2023              Valorisation dans le référentiel IFRS des instruments de passif pour une société non cotée
        COULIBALY Y. O.                                 AXA France  2023         Apport de la data science dans l'analyse des déclarations d' arrêts de travail en prévoyance...
             DALLARI M.                             KaribU Gestion  2023                    Evaluation des coûts de gestion liés à la déshérence des contrats d’épargne-retraite
               DATSI K.                               Generali Vie  2023     Le risque incapacité de travail : étude de l'absentéisme sur un portefeuille d'assurance collective
             DE ARCE P.                                   Prim'Act  2023                               Analyse des déterminants de la marge client d'un portefeuille d'assurance
         DE CHEVIGNY M.                            AXA France IARD  2023   Application de la théorie de la crédibilité hiérarchique et des valeurs extrêmes à la tarification...
          DE LA HAYE A.                                   Optimind  2023                                      L'impact de l'inflation et des taux sur l'épargne en assurance vie
         DE STEPHANO L.         Caisse des Dépôts et Consignations  2023 Quantification du montant de fonds propres nécessaires pour couvrir les risques relatifs à des biens...
              DELBET L.                                       SCOR  2023                         Construction de lois Best Estimate pour le risque décès en assurance emprunteur
             DELORME A.                                   Prim'Act  2023                               Assurances contre la sécheresse au XXIe siècle : perspectives d'évolution
         DEMORGNY A. S.                                      MACSF  2023      Identification des facteurs du risque de transition à intégrer dans la gestion des risques d’un...
           DENECHEAU R.                 Crédit Agricole Assurances  2023       Création d'un nouveau support en euros avec garantie en capital abaissée et diversification de...
              DERAIN R.                                   Groupama  2023                                Projection et Pilotage par métier des risques Non-Vie sous Solvabilité 2
               DEROM M.                            Also Consulting  2023     Modèles de prédiction de l’âge de retraite, dans le contexte de l’évaluation de l’engagement des...
             DERREAL A.                           Mazars Actuariat  2023              Intégration du risque de transition climatique dans l'ORSA d'un assureur-vie : Approche...
            DESCAMPS A.                                     ACHEEL  2023                                   Mise en place du processus ORSA dans une structure en hypercroissance
           DESCHAMPS J.                              Crédit Mutuel  2023                                     Calibration du modèle de taux G2++ dans le calcul de provisions CVA
           DETCHINLI B.                                        WTW  2023  Allocation stratégique d'actifs sous contrainte de SCR - Construction d'un proxy du SCR en fonction...
           DIAGNE E. M.                                 AXA France  2023     Agrégation du SCR réserve sur le portefeuille non vie d’AXA France : cas des dépendances entre Lobs
              DIALLO A.                                   GENERALI  2023 Mise en relief d'une nouvelle méthode de tarification adaptée aux risques volatiles pour la garantie...
              DIALLO K.                                    GIE AXA  2023                               Prise en compte de l'inflation dans le calcul des réserves en réassurance
           DIALLO M. A.                                    SOGECAP  2023  Analyse de l’impact de la pandémie sur les flottes automobiles à travers les variables télématiques...
              DIGBEU P.                           MALAKOFF HUMANIS  2023                                  Une méthodologie de rolling obligataire en contexte de hausse des taux
            DIOUF M. F.       Crédit Agricole Assurances Solutions  2023 Mesure de la valeur des affaires nouvelles - Etudes comparatives de la NBV entre la norme comptables...
   DONGMO TIOGUIM G. L.                    Mazars Actuariat France  2023         Courbe des taux d'actualisation sous la norme IFRS 17 : méthodes de construction en approche...
               DOSER M.                                     Alptis  2023                   Projection déterministe et stochastique du compte de résultat d’un produit emprunteur
         DOUKOURE H. S.                                  PartnerRe  2023      Mise en place d’un modèle additif généralisé (GAM) bayésien pour les swaps de longévité dans le...
            DOUTHAUD A.                                   Deloitte  2023 Analyse de la survenance d'un arrêté CAT-NAT de type submersion marine face au changement climatique...
               DURON J.                                   Avanssur  2023                                            Optimisation tarifaire à l'affaire nouvelle du produit santé
                DURU D.                                   Actuelia  2023                                L'Euro-croissance : une opportunité pour les assureurs et leurs clients?
       DUTRUC-ROSSET M.                                   Generali  2023   Modélisation de la sinistralité des polices d’activités en assurance construction dans un contexte...
                 EAR P.                             CNP Assurances  2023                            Estimation du SCR sous formule standard par des méthodes de machine learning
             EL HABA A.                  Assurances du Groupe BPCE  2023   Modélisation du risque de crédit dans le générateur de scénarios économiques et le modèle ALM d’un...
            EL KASMI A.                            Addactis France  2023     Analyse comparative des méthodes de Machine Learning et de Deep Learning en provisionnement non-vie
          ELO NDAKUA K.                                   Forsides  2023                                                     L'intérêt de l'eurocroissance dans les contrats PER
               EMERY Q.                            SeaBird Conseil  2023        Mesurer la rupture : approche semi-paramétrique et classification dans l’évaluation du risque...
               FARAH G.                                        CCR  2023         Estimation des provisions techniques en assurance-crédit et prise en compte de données exogènes
             FELLOUS R.                                     KLESIA  2023                 Elaboration d'une table d'entrée et de sortie pour le risque d'inaptitude à la conduite
   FERNANDES MACHADO A.                            Generali France  2023  Contribution marginale des sites industriels au coût de réassurance d'un traité de type excédent de...
               FERON S.                            AXA France IARD  2023  Utilisation des SHAP values pour une tarification du produit RC Industries et Commerces à la maille...
            FERRACCI C.                               Sia Partners  2023                                 Assurance emprunteur : Tarification et étude de l'impact de l'inflation
               FERRE G.                           AG2R La Mondiale  2023                                                  Tarification de contrats collectifs en assurance santé
      FEUKAM KOUHOUE F.              Institut Europlace de Finance  2023       Interprétabilité des Modèles de Tarification en Actuariat : application à l'assurance automobile.
               FINAS A.                                 AXA France  2023   Optimisation de la tarification des contrats de retraite supplémentaire grâce à l'apprentissage du...
            FOURNIER H.                                       KPMG  2023           Développement et application de méthodes long terme pour retraiter l'effet bow wave sur un...
 FROELICHER BOURNAUD M.                Société Générale Assurances  2023                              Etude du modèle de taux LMM+ et optimisation de son Displacement Parameter
             GABA K. G.                               Actuariatech  2023             Apport des modèles cliométriques composites pour la construction des tables de mortalité...
              GALLON M. AXA Partners Credit & Lifestyle Protection  2023       Mise à jour des hypothèses de fréquence en risque incapacité au Portugal : l’utilisation d’une...
               GANON M.                                   Milliman  2023                                   Prise en compte du risque climatique dans le provisionnement agricole
GAUTIER DE LA PLAINE G.                                   Prim'Act  2023          Valorisation d'un fonds de titrisation de dettes subordonnées : prise en compte des retours...
             GEISSEL M.                                   Addactis  2023      Modélisation de l'impact de la réforme Protection Sociale Complémentaire (PSC) sur les contrats...
           GHARBI A.-H.                                      Covéa  2023                             Construction d'indicateurs de rentabilité d'un produit d'assurance obsèques
              GILMAS L.                     La Mondiale Partenaire  2023                                  Modélisation des arbitrages sur un portefeuille d'épargne patrimoniale
            GINOVART A.                                  SwissLife  2023   Paramétrage de différentes hypothèses actuarielles sur un portefeuille emprunteur dans le cadre de...
   GNONLONFOUN H. S. S.                   Europ Assistance Holding  2023                                     Construction d'une loi d'acquisition des primes en assurance voyage
              GOUBER A.                                     Klesia  2023                                            Mise en place d'une vision prospective des prestations santé
           GOULUT L.-M.                         Covea Corporations  2023                                                  Tarification de garanties Maladies graves et redoutées
              GOUNEL C.                           Deloitte Conseil  2023          Optimisation du processus de pilotage du risque de Spread par des méthodes de Machine Learning
               GUEYE C.                             CNP Assurances  2023                                Les opportunités d'une mise en place d'un FRPS sur un portefeuille L.441
               GUEYE D.                                       KPMG  2023     L’inflation : modélisation et impact sur les passifs d’un assureur vie ayant des contrats d'épargne
           GUEZENNEC I.                               SIA Partners  2023                Mise en place d'une assurance paramétrique pour garantir la rentabilité d'un parc éolien
           GUILLAUME P.                                 Diot Siaci  2023                             Création d'un outil d'allocation stratégique adossé à un régime de retraite
              GUINET N.                                        MMA  2023                                   Révision du tarif sur les flottes automobiles de taille intermédiaire
        GUO-FITOUSSI L.                Ensemble Protection Sociale  2023   Revue des modèles de taux et implémentation des modèles LMM-SBR et Hull-White, dans un contexte de...
              HENAFF G.                                    Predica  2023       Modélisation dynamique des résiliations sur une portefeuille d'assurance emprunteur en contrat...
            HERANVAL A.                   Mission Risques Naturels  2023                                    Introduction d'une méthode de tarification pour des risques extrêmes
               HERRY P.                                 Axa France  2023    Impact de la sinistralité grave sur le suivi de la rentabilité dans un contexte de groupements de...
               HUANG S.                                    GIE AXA  2023                                                   Modélisation du risque de contrepartie en réassurance
              IGGIDR K.                                     Acheel  2023                                         Appréhension d’un risque émergent : création d’un produit cyber
             JARJOUI A.                                    Axa GIE  2023                                      Modélisation des cycles de marché et appétence au risque dynamique
       JELSCH--BISEL A.                                    Relyens  2023                                                  Evaluation du risque cyber des établissements de santé
                JOLY L.                            GENERALI France  2023                                                        Pilotage d'un portefeuille retraite sous IFRS 17
                JOUX F.                                       SHAM  2023      Evaluations alternatives du SCR de Réserve en Responsabilité Civile Médicale par Modèle interne...
              JULIEN N.                           AG2R La Mondiale  2023  Confrontation de modèles prédictifs dans le but de quantifier les impacts de la crise sanitaire sur...
             JULLIEN L.                                   Swiss Re  2023                                             Modélisation marché de l’Accident du Travail en réassurance
              KACMAZ S.                                    Relyens  2023                                                         Modélisation des flux en assurance de personnes
             KARTNER A.                                Hannover Re  2023 Impact de l’ajout d’une garantie dans le calcul de la meilleure estimation d’un traité de dépendance...
               KASRY Y.                             Exiom Partners  2023                                        Pilotage des résultats en multinorme d'un produit Eurocroissance
            KERZERHO M.                            SeaBird Conseil  2023          Etude de sensibilité du provisionnement en arrêt de travail d’un portefeuille de prévoyance...
 KHADIRA BEN KADDOUR I.                                 Axa France  2023         Comparaison des supports Eurocroissance et Fonds Euro dans le secteur de la retraite collective
     KINGNE WAFFO J. D.                                Cardif IARD  2023                                           Modélisation d’une provision agrégée sur un portefeuille IARD
    KOAGNE FONGUIENG F.                                       SCOR  2023        Environmental performance of companies in an insurance portfolio and impact on its profitability
               KOKOU A.                                       ADIS  2023          Analyse et gestion des potentiels risques inhérents à la mise en place de la loi Lemoine en...
          KONE K. J.-I.                                    Reacfin  2023   Intégration de l’inflation dans le processus de provisionnement en assurance responsabilité civile...
             KONE Z. S.                                        GPM  2023     Optimisation du processus ALM par la mise en place de model points sur les données de passif en SII
         KONIN A. P. L.                                      CHUBB  2023    Modélisation stochastique de l'inflation dans l'évaluation des provisions d'un assureur non-vie :...
               KOUAM D.                               SIA Partners  2023     Téléconsultation : évolutions de la pratique et impacts actuels et futurs sur la sinistralité en...
             KRUPOVA M.                            Addactis France  2023    Construction d'un modèle de Machine Learning interprétable pour la tarification en assurance non-vie
          LAFOURCADE I.                                     CCR Re  2023   Mise en place de l'approche Increased Limit Factor pour la tarification des traités en excédent de...
             LAGORIO T.                                 AXA France  2023 Modélisation de la longévité des rentiers d'un portefeuille de Retraite Collective et évaluation des...
                 LAM A.                                   Actuelia  2023                                              L' Open Data dans la tarification des mutuelles communales
               LAMRI Y.                           Malakoff Humanis  2023  Construction de lois de maintien en incapacité par pathologie et application à l’estimation du gain...
              LARAKI L.                           GROUPAMA GAN VIE  2023   Les étapes de la modélisation IFRS 17 d'un portefeuille Prévoyance Collective et les adaptations à...
             LARRECQ R.                                   Indep'Am  2023                Modélisation du risque de contrepartie des dérivés de couverture utilisés par l'assureur
             LAURENT E.                                   Actuelia  2023                        Solvabilité d’un organisme vie et optimisation dans un contexte de taux négatifs
           LE CORNET F.                           AG2R La Mondiale  2023    Principes et enjeux clés de la transformation d’un groupe d’assurance par la création de Fonds de...
              LE JAN H.                             CNP Assurances  2023           Anticipation de dérives de sinistralités sur les risques Santé et Incapacité Invalidité en...
       LE LOUARNE J.-F.                                   AFI-ESCA  2023                                                           Détection robuste des changements d'intensité
           LE PENNEC M.                            BPCE Assurances  2023                                      Étude et modélisation de la résiliation en Prévoyance Individuelle
            LE PERON A.                                 AXA France  2023   Modélisation des garanties RCM et RCC en Flottes non Dénommées : Tarification par véhicule grâce à...
          LE SERGENT A.               La Banque Postale Prévoyance  2023                                                                 Étude du risque de modèle en prévoyance
             LEFEVRE M.             Caisse Centrale de Réassurance  2023      Provisionnement du risque sécheresse dans le cadre du régiment d’indemnisation des catastrophes...
              LEGAIT M.                                 Swiss Life  2023                             Pilotage par l'offre produit de la solvabilité dans un contexte de taux bas
             LEGRAND S.                           Groupama Gan Vie  2023                                        Modélisation du coefficient de mortalité en assurance collective
           LEHERISSE M.                                  Suravenir  2023       Impacts de la norme IFRS17 sur un portefeuille d'assurance emprunteur présentant des garanties...
             LEJEUNE M.                        La Réunion Aérienne  2023    Evaluation de la charge ultime aviation et maritime par des méthodes de Machine Learning : Impact...
              LEROUX N.                          Swiss Life France  2023                                    Etude d'un traité de réassurance sur risque de températures extrêmes
               LIEGE L.                              CA assurances  2023                      Optimisation de grilles de gestion pilotée d’un PER sous contraintes de volatilité
                 LIM T.                 Crédit Agricole Assurances  2023                                                Analyse de la rentabilité d'un produit Garantie Obsèques
               LONNE P.                             CNP Assurances  2023                                    Modèles de taux et calibrages alternatifs au modèle LMM+ pour le GSE
            LOUBEYRE A.                                      MACSF  2023                     Tarification des traités de réassurance pour les garanties incapacité et invalidité
            MAHFOUDI F.                                   Generali  2023                                                      Clôtures trimestrielles et provisionnement IFRS 17
             MAHRANE Y.                         Périclès Actuarial  2023    Choix de la meilleure combinaison de modèles pour réaliser un GSE sur un portefeuille d'assurance...
             MANGION A.                                   Milliman  2023                    Modélisation de l'inflation et impact sur le capital économique en assurance non-vie
              MARZIO J.                     April Santé Prévoyance  2023                     Critères de segmentation et impact de la sélection médicale en assurance emprunteur
          MASSIMIANI J.                           Malakoff Humanis  2023    Construction d'une table d'expérience prospective pour un portefeuille de rentes et impact sur le...
             MASSIOT A.                                      Covea  2023                                    Résiliation en assurance automobile : Analyse du comportement client
             MAUCUER E.                               SIA Partners  2023       Projection de la fréquence des inondations et sécheresses en France métropolitaine à horizon 2050
          MEBAZAA M. A.                Société Générale Assurances  2023              Mise en oeuvre de nouvelles approches tarifaires sur un produit de prévoyance individuelle
             MECHALI M.                                        Axa  2023                                 Méthodes de provisionnement stochastique utilisant des modèle bayésiens
           MECHERARA L.                          Mutuelle Générale  2023  Comment maîtriser l'évolution du coût de la complémentaire santé à la charge des retraités au titre...
             MEGHAZI C.                                MMA - Covea  2023        Prise en compte de la censure dans la liquidation des provisions pour sinistres à payer de la...
              MICHEL S.                                La Médicale  2023                            Analyse de l'option de désagrégation en IFRS17, application à la RC médicale
               MIRAN E.                Société Générale Assurances  2023        Projection de versements libres au sein d'un modèle ALM Epargne et impacts sous la norme IFRS 17
              MIROLO A.                           GALEA & Associés  2023   Identification de profils types en assurance emprunteur orientée sur la transformation de devis en...
              MORICE L.                                   Milliman  2023         Calibrage accéléré du DD-SV-LMM dans un générateur de scénarios économiques risque-neutre et...
   MOSQUERA PEREZ V. E.                    Europ Assistance Groupe  2023                                             Sophistication tarifaire de la garantie assistance routière
              MOUAFO M.                             CNP Assurances  2023             Estimation de la valeur d'un portefeuille d'épargne avec des techniques de Machine Learning
              MOUMEN A.                           SwissLife France  2023                     Transition d'un Fonds de Retraite Professionnelle Supplémentaire à la norme IFRS 17
         MOUTAOUAKIL A.                             Allianz France  2023                                                              Le rachat: vision dans un contexte chahuté
              MOYAUX A.                            BPCE Assurances  2023                         Construction d’une table de mortalité d’expérience avec des processus gaussiens
         NARAYASSAMY L.                                        WTW  2023                                       Le FRPS, une (r)évolution pour les assureurs suite à la loi Pacte
              NGO Q.-N.                                    ACM GIE  2023                                         pilotage de la performance en assurance emprunteur sous IFRS 17
      NGONG ENGOULOU D.                                     Fixage  2023                                     Détection de rupture de tendance sur les taux de mortalité par âge.
        NGUYEN A. T. A.                                 AXA France  2023                                       Calibrage d’un choc local du risque longévité en arrêt de travail
             NIKIEMA K.                            AXA FRANCE TARD  2023                   Impact de l'ajout d' Open Data dans la modélisation de la garantie climatique en MRH.
             NKAMENI D.                               Sia Partners  2023                                   Etude de la stabilité d'un modèle de segmentation en assurance-crédit
           NOMAOU W. N.                                 Aprecialis  2023      Modélisation de l'impact de la réforme de la protection sociale complémentaire dans la fonction...
               NUNES M.                                    ENTORIA  2023            Modélisation du risque arrêt de travail pour un portefeuille de TNS par méthode Data Science
               OBBAI M.                                        PwC  2023         Intégration et détermination d'une mesure d'illiquidité cohérente permettant de refléter les...
             OUCHIHA R.                            Generali France  2023                                     Impact de la loi Lemoine sur la rentabilité en assurance emprunteur
               OUDIN E.               SwissLife Santé & Prévoyance  2023          L'influence de la sélection médicale en temps de pandémie sur la sinistralité en prévoyance...
            OUHAMMOU A.                                 Partner RE  2023  Construction d'une table de mortalité prospective de référence dans un contexte post-COVID pour des...
         OULID AZOUZ N.                    Amundi Asset Management  2023                                                                          Net Zero Investment Portfolios
                PAIN T.                            Addactis France  2023                                                  Risque de transition : comment piloter son allocation?
               PATRA B.                           Mazars Actuariat  2023                      Rentabilité du New Business d'un portefeuille d'épargne de Solvabilité 2 à IFRS 17
              PAVARD M.                             SPAC Actuaires  2023                                           Valorisation d’un produit structuré sur le marché des changes
              PAVARD V.                               ACTUARIELLES  2023      Ajustement du provisionnement du risque arrêt de travail pour optimiser le pilotage des régimes...
              PERINI H.                          La Mutuelle Verte  2023                        Modélisation de la tarification d’un contrat santé issu de la gamme « retraite »
          PEYRAMAURE H.                            Addactis France  2023      Construction d’un outil de modélisation de la structure du financement des dépenses de soins de...
              PEYRAT T.                                   Milliman  2023           Risque cyber, un modèle épidémiologique sur réseaux pour le risque d'accumulation du cyber...
             PINGUET F.                                      COVEA  2023                                 Analyse et suivi de la rentabilité d’un portefeuille de rentes viagères
              POLOCE A.                                        ACM  2023         Modélisation d’un contrat d’assurance des emprunteurs en IFRS 17 : approfondissements sur la...
                PONS A.                             CNP Assurances  2023          Evénements extrêmes et risque de crédit sous IFRS 9 : cas d’application sur un portefeuille...
     POUANI EMAPI H. J.                            Generali France  2023 Refonte de la Valeur Client Automobile : intégration de la valeur passée, étude de la réalisation et...
             POUILLY K.                                   Addactis  2023                                                             Projection du risque tempête à horizon 2100
          QUEFFEULOU S.                         Périclès Actuarial  2023                                     Introduction de critères ESG dans l'allocation stratégique d'actifs
            RAILLARD M.         Caisse des dépôts et consignations  2023 Modélisation du comportement de départ en retraite des fonctionnaires territoriaux et hospitaliers :...
            REGNAULT M.                            Addactis France  2023       Modélisation des comportements de fidélité des assurés : sensibilité au prix et applications à...
               REMAL C.                                    Pro BTP  2023                      Quels critères d’optimisation pour une étude ALM d’une institution de prévoyance ?
                RENE L.                                       SPAC  2023        Quantification de l’incertitude relative à l’impact du travail des personnes invalides sur le...
             REYMOND M.                             Groupe Colonna  2023                                                              Etude de l'impact de la réforme 100% santé
             RICHARD Y.                Société Générale Assurances  2023            Avantages des réserves d'un contrat de prévoyance collective et estimation du niveau optimal
            ROCHELLE M.                                   Addactis  2023             Construction d’un score de risque Tempêtes au bâtiment en assurance Multirisques Habitation
             ROUAMBA L.                           Malakoff Humanis  2023                                                     Estimation des sinistres tardif en arrêt de travail
               ROUER T.                                       KPMG  2023                    Estimation de la densité de provisions non-vie ligne à ligne par réseaux de neurones
            ROUSSEAU A.                                   Pacifica  2023                                                 Construction d'un zonier en assurance grêle sur culture
                 ROY P.                                  Covea MMA  2023                         Une approche « best estimate » du risque sécheresse sur le périmètre habitation
               SABRY A.                                        GMF  2023                                           Sensibilité au prix en assurance multirisque habitation (MRH)
              SAFFAR M.                              AXA Global RE  2023 Réconciliation entre les données de traification et de provisionnment en réassurance afin d'analyser...
             SAGAZAN G.                                   Optimind  2023  Implémentation de modèles d'inflation dans un générateur de scénario économique en risque neutre et...
             SAISSET B.                            Generali France  2023                               Décision de résiliation et sensibilité à la prime en assurance automobile
             SAMASSA F.                 Crédit Agricole Assurances  2023                               Mise en place d'un zonier dans la mesure de performance d'un régime santé
                SAME O.                              Generali IARD  2023 Enrichissement des données et modélisation fine du coût des sinistres dégâts des eaux habitation par...
               SAUCE M.                                       SCOR  2023 IA et éthique en assurance : une nouvelle solution pour atténuer la discrimination par proxy dans la...
                SECK O.                           Aviva Assurances  2023          Construction d’un véhiculier à l’aide de méthodes de machine learning et mesure de l’impact...
            SEIGNOLE A.                             Grant Thornton  2023                    Evaluation du risque de transition dans le cadre de stress tests climatiques en ORSA
               SEKLE S.                             Gan Assurances  2023                  Provisionnement d'un régime d'assurance chômage pour créateurs et gérants d'entreprise
             SENTUCQ A.                                        PwC  2023 Provisionnement en assurance non-vie : Extension stochastique de méthodes usuelles et application au...
      SINZINKAYO J.D.D.                                 AXA France  2023         Covid 19 et crise sanitaire, quels effets sur le risque de longévité pour le portefeuille de...
             SIRIEYS A.                                   Optimind  2023 Réduction du droit à l'oubli : construction d'une loi d'extra mortalité et étude de l'impact sur les...
              SLIMEN A.                                       SCOR  2023             Amélioration de la modélisation catastrophes naturelles dans un portefeuille de réassurance
             SOUPLET G.                                        MMA  2023    Illustration des techniques de Machine Learning dans le cadre de la refonte d’un zonier dégât des...
             STEPHAN A.                              Guy Carpenter  2023                 Impact d'un décalage d'âge de départ en retraite sur un régime de prévoyance collective
              SYLLA  O.                         BNP Paribas Cardif  2023                                      Pilotage d'un contrat d'épargne en euro par la méthode over return
               TALBI T.                                   Milliman  2023       Développement, extension et comparaison de modèles de provisionnement individuel : projections...
                TAZI O.                         Abeille Assurances  2023                         Calibrage des USP : Impact d'une segmentation par branche de risques homogènes)
              TEBOUL S.                                      Covea  2023 Etude de l’apport des données externes pour prédire la survenance de sinistres responsabilité civile...
            TEISSIER V.                                       SCOR  2023    Analyse et standardisation de méthodes de lissage pour une application globale à travers tous les...
           THIEBAULT L.                                    AXA GRM  2023                                                   Analyse de sensibilité d’un modèle de risque sismique
            THOUZEAU E.                                Prévoir Vie  2023        Le risque incapacité d'un portefeuille prévoyance : construction de lois d’entrée, analyse de...
           TOSSOU C. R.                           Société Générale  2023                                             Risk Weighted Assets : Estimation de l’effet des paramètres
              TOUYAA P.                                  Suravenir  2023   L'impact de modifications méthodologiques structurantes sur les fonds propres IFRS 17 à la date de...
              UBEZZI R.                            Generali France  2023   Création d’un score d’appétence client à l’orientation vers un garage agréé et impact sur le tarif...
           ULCINAITE A.                                       Scor  2023                                                       Prospective mortality by cause of death modelling
            VALDIKUS I.                                   Forsides  2023                    Méthodes de prédiction de la sinistralité et analyse des dépendances du risque cyber
       VANDENBROUCKE C.                            ADDACTIS France  2023 Impact de la modélisation du crédit stochastique sur le bilan d'un assureur, au vu de l'évolution du...
             VARRALL M.              Groupama Assurances Mutuelles  2023   Définition et mise en place d'un cadre de tolérance aux risques au sein du pôle caisses régionales...
               VATRY A.                                  PartnerRe  2023                       Algorithme de clustering appliqué à la tarification d'un produit d'assurance MPCI
            VERMESSE C.         Caisse des dépôts et consignations  2023                                         Modélisation du risque de taux dans le bilan du fonds d’épargne
           VILOTITCH C.                                     Adding  2023        Réalisation d’un outil de tarification à priori en Santé grâce à des modèles de machine learning
              VILTIE M.                            SeaBird Conseil  2023                                             Tarification des polices cyber par approche proie-prédateur
      WAFO KANKEU C. B.                               ACS LinkPact  2023 Impact du montant de rente sur la longévité au sein d'un portefeuille de rentiers : Une approche par...
                WANG Q.                           Malakoff Humanis  2023                Modélisation de résiliation en cas de déséquilibre des classes et mesure de l’élasticité
               XIANG X.                                 Axa France  2023   Etude sur le passage d'un modèle de mortalité statique à un modèle de mortalité prospectif pour la...
          YAMEOGO W. R.                            GENERALI France  2023                                 Analyse des réouvertures de sinistres de la branche dommages aux biens.
                YAYA H.                          Direct Assurances  2023 Mise en oeuvre d’un modèle de provisionnement individuel en assurance automobile et comparaison avec...
                ZINS A.                                      COVEA  2023                                           Tarification d’un traité proportionnel non-vie par simulation
              ZOUINE A.                           Mazars Actuariat  2023    Pilotage stratégique d'une compagnie d'assurance vie dans le contexte de la revue de la Directive...
             ZURBACH K.                             Exiom Partners  2023                                                               Allocation optimale d'actifs pour un FRPS
         KONDO G. L. J.                                   Forsides  2022                  Stratégies de pilotage du PER dans le cadre prudentiel et en environnement de taux bas
            LEGENDRE L.                            SCOR GLOBAL P&C  2022        La réassurance structurée avec composante financière en non-vie - Motivations et impacts pour...
                ABID M.                            Generali France  2022                             Allocation du capital : analyse et gestion des risques en assurance non-vie
              ABITAN R.                 Assurance du Crédit Mutuel  2022             IFRS 17 : réflexions autour des méthodologies d'évaluation de la C.S.M. de transition en...
        ADOVOEKPE P.-M.                            GENERALI FRANCE  2022                  Refonte de l'outil de tarification santé individuelle de la Direction des Partenariats
               AJANI T.                 Crédit Agricole Assurances  2022             Modélisation du risque des assurés réduits d'un portefeuille dépendance et impact sur le...
          ALI ZATCHI A.                            Generali France  2022                                                       Résiliation et élasticité prix sur le produit MRC
               ANDRE M.                  Union Mutualiste Retraite  2022     Optimisation de l'allocation d'actifs pour un produit de branche 26 avec analyse du gap de duration
              ARRATA W.                           Banque de France  2022          The implementation of an insurance company's Asset Allocation with Exchange Traded Funds in...
              ASRARY D.                        Mutuelle Mieux-Etre  2022                                 Modélisation des rachats et réductions pour un portefeuille Vie entière
             ASSAYAG I.                               Generali Vie  2022                                             Le risque de longévité dans le cadre d'un viager immobilier
             ASSI J. D.                            Addactis France  2022      Apport de données télématiques dans la modélisation du risque géographique en assurance automobile
               BADEN L.                                       KPMG  2022              Méthodologie de calcul du Risk Adjustment pour un réassureur vie sur un portefeuille Décès
            BADILLET A.                            Cabinet Seabird  2022                                La gestion du risque climatique : changement de norme et provisionnement
              BAHABI A.                                    Entoria  2022                                   Modélisation de la durée de vie des contrats en assurance de personne
            BAHBOUHI H.                               Generali Vie  2022   Etude sur l'élaboration d'une nouvelle offre d'assurance pour les affiliés ayant choisi une sortie...
               BAHRI H.                                   Groupama  2022         Estimation de la charge sinistres Sécheresse pour Groupama d'OC en période d'arrêté des comptes
           BALLANGER R.                                      Mutex  2022              Evaluation du juste niveau de provisionnement de la garantie Arrêt de travail sous solva 2
                BARD G.                            Addactis France  2022                                       Modélisation de la propagation d’un rançongiciel s’auto-diffusant
                BEJI F.                           Europ Assistance  2022  Lancement d'une assurance voyage au Royaume-Uni : Tarification et prise en compte de la spécificité...
            BELGHITH S.                           AG2R La Mondiale  2022   Provisionnement du maintien en incapacité : cas d’un portefeuille de contrats caractérisés par une...
            BELLMANE M.                                        WTW  2022                                   Modélisation actuarielle d'un algorithme de participation aux bénfies
              BELLOT A.                            Generali France  2022                                    Modélisation du changement de véhicule dans une optique de rétention
           BELLUGEON M.                                 DIOT-SIACI  2022                     Impact de la variable métier su la segmentationtarifaire des contrats de prévoyance
          BEN FADHEL A.                         Natixis Assurances  2022                        Accélération de l'évaluation de la solvabilité prospective d'un assureur épargne
           BEN SLAMA E.                                     Mazars  2022                                Deep pricing and deep calibration : application in finance and insurance
           BENDOUNAN A.                            SeaBird Conseil  2022    Versements libres : analyse et projection du comportement des assurés d'un portefeuille d'épargne...
              BERGER P.                                     Mazars  2022                   Optimisation de couvertures de réassurance dans un environnement aux normes multiples
       BIAGA TCHOUYO S.                           Malakoff Humanis  2022                         Modification de l'ajustement de la volatilité (VA) et impact sur la Solvabilité
